date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:13	40751/40751	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t1.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t1.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:13	25785/25785	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t2.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t2.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:13	20777/20777	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t3.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t3.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:13	31716/31716	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t4.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t4.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:14	46036/46036	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g1.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g1.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:14	27087/27087	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g2.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g2.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:16	24108/24108	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g3.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g3.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:20	48689/48689	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g4.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g4.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:22	26327/26327	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g5.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g5.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:23	29566/29566	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g6.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/g6.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
